"date","retweets","isretweeted","length","favorites","ishealth","ispandemic","isvirus","isemergency","isdeaths","iswho","iscdc","isnih","isdisease","isquarantine","isrecover","isban","iscoronavirus","iscovid19","iswash","isracist","isasian","ischinese","isinfectious","ch.confirmed","it.confirmed","ot.confirmed","us.confirmed","ch.deaths","it.deaths","ot.deaths","us.deaths","fear","sadness","trust","disgust","negative","anticipation","joy","positive","anger","surprise"
2020-03-01,1179,TRUE,109,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,2,0,0,1,0,0
2020-03-01,232,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,0,0,1,0,0,0,0,0
2020-03-01,110,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
2020-03-01,6725,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,2,0,0,0,0
2020-03-01,61,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
2020-03-01,64,TRUE,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,7,TRUE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,1,0,1,2,0,0
2020-03-01,84,TRUE,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,1,1,0,0,0,0,0,0,0
2020-03-01,5,FALSE,139,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,1,1,1,0,0
2020-03-01,171,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,1,0,0,0,0,0
2020-03-01,0,FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,0,1,1
2020-03-01,78,TRUE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,1,0,0,0,0,0
2020-03-01,367,TRUE,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,1,1,0,0
2020-03-01,193,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,0,0,1,0,0,0,0,0
2020-03-01,112,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,1,0,1,1,0,0,0,0
2020-03-01,2225,TRUE,139,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,2,0,1,1,0,0,0,0,0
2020-03-01,0,FALSE,148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,0,0,3,0,0,3,2,0
2020-03-01,411,TRUE,139,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,1,0,0,1,1,0
2020-03-01,3718,TRUE,140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,79932,1694,6669,74,2872,34,89,1,3,3,1,2,2,0,0,0,1,0
2020-03-01,0,FALSE,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,1,2,0,0,0,1,0
2020-03-01,403,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,2,0,0
2020-03-01,1,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,2,0,1,0,2,3,2,2,0,0
2020-03-01,21,TRUE,144,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,0,0,0,0,0,0
2020-03-01,276,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,1822,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,6725,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,2,0,0,0,0
2020-03-01,1822,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,7,TRUE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,1,0,1,0,1
2020-03-01,367,TRUE,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,1,1,0,0
2020-03-01,156,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,1,1,0,1,0,0,0,1,0
2020-03-01,349,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,0,0,1,1,1,1,0,0
2020-03-01,0,FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,2,0,1,1,2,1,0,1,0,0
2020-03-01,0,FALSE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,1,0,0,1,1,0
2020-03-01,388,TRUE,140,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,1,0,0,0,0,0
2020-03-01,12,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,1,0,0,0,0,0
2020-03-01,110,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,1,0,1,0,0
2020-03-01,3718,TRUE,140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,79932,1694,6669,74,2872,34,89,1,3,3,1,2,2,0,0,0,1,0
2020-03-01,4445,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,1,0,0,2,0,0
2020-03-01,5905,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,29,TRUE,139,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,0,0,1
2020-03-01,276,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,171,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,0,1,0,1,0,0
2020-03-01,465,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,1,0,0,0,1,2,0,1
2020-03-01,78,TRUE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,1,0,0,0,0,0
2020-03-01,276,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,130,TRUE,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
2020-03-01,473,TRUE,139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,2,0,0,2,0,3,0,0
2020-03-01,100,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,2,0,0,0,0,0
2020-03-01,81,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,1,0,1,0,0,0,1,2
2020-03-01,0,FALSE,133,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
2020-03-01,113,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,1,0,2,0,0
2020-03-01,89,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,1,1,0,0
2020-03-01,7,FALSE,140,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,1,0,1,0,0
2020-03-01,0,FALSE,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,1,1,0,0,0,0,0,0,0
2020-03-01,203,TRUE,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,1,1,1,0,0
2020-03-01,247,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,1,0,1,1,1,0,0,1,1
2020-03-01,0,FALSE,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,0,0,0
2020-03-01,88,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,1,1,1,0,0,1,1
2020-03-01,0,FALSE,132,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,1,1,0,0,0,1
2020-03-01,61,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
2020-03-01,273,TRUE,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,1,0,0,0,0
2020-03-01,0,FALSE,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,0,0,1
2020-03-01,78,TRUE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,1,0,0,0,0,0
2020-03-01,78,TRUE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,1,0,0,0,0,0
2020-03-01,0,FALSE,125,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,1,0,0,0,1,0
2020-03-01,32,TRUE,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,1,1,0,0
2020-03-01,3,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
2020-03-01,64,TRUE,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,16,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,1,0,0,1,0,0
2020-03-01,825,TRUE,139,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,0,1,1,0,0,0,1,2
2020-03-01,232,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,1,0,0,1,0,0,0,0,0
2020-03-01,5905,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,329,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,0,0,0,0,0,0
2020-03-01,100,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,2,0,0,0,0,0
2020-03-01,0,FALSE,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,1,1,2,0,0
2020-03-01,403,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,2,0,0
2020-03-01,7,TRUE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,1,0,0,0,1,0,1,2,0,0
2020-03-01,3718,TRUE,140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,79932,1694,6669,74,2872,34,89,1,3,3,1,2,2,0,0,0,1,0
2020-03-01,166,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,3,1,0,0,5,1,0,0,2,1
2020-03-01,3718,TRUE,140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,79932,1694,6669,74,2872,34,89,1,3,3,1,2,2,0,0,0,1,0
2020-03-01,8273,TRUE,144,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,1,0,0,0,0
2020-03-01,1,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,0,1,0,0
2020-03-01,1462,TRUE,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,1,0,0,0,1,1,0,0
2020-03-01,237,TRUE,140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,79932,1694,6669,74,2872,34,89,1,0,0,0,0,0,0,0,1,0,0
